Date,Open,High,Low,Close,Adj Close,Volume,fluctuation rate
2015.1.5,265.084015,298.753998,265.039001,265.660004,265.660004,164241500,0
2015.1.12,266.145996,272.203003,171.509995,210.339005,210.339005,363112212,-20.82
2015.1.19,211.470993,255.074005,205.153,253.718002,253.718002,189165500,20.62
2015.1.26,254.078995,309.384003,212.014999,226.972,226.972,306840500,-10.54
2015.2.2,226.490997,245.957001,214.725006,223.412003,223.412003,183691200,-1.57
2015.2.9,223.389008,265.610992,215.332001,234.824997,234.824997,230343800,5.11
2015.2.16,234.824997,255.320007,229.022003,235.977005,235.977005,154676000,0.49
2015.2.23,235.994995,261.660004,232.421005,260.201996,260.201996,138892900,10.27
2015.3.2,260.356995,285.79599,258.312988,274.354004,274.354004,242425100,5.44
2015.3.9,274.812012,300.044006,273.893005,286.393005,286.393005,259502000,4.39
2015.3.16,285.684998,294.112,248.636002,267.959991,267.959991,206778200,-6.44
2015.3.23,267.894989,277.296997,236.514999,242.712997,242.712997,179497700,-9.42
2015.3.30,242.878998,260.674988,239.214005,260.597992,260.597992,150120700,7.37
2015.4.6,260.721008,261.798004,232.770996,236.153,236.153,147866600,-9.38
2015.4.13,235.949997,236.934998,216.322998,222.600006,222.600006,158658500,-5.74
2015.4.20,222.612,237.908997,214.873993,219.429993,219.429993,148576200,-1.42
2015.4.27,219.429001,243.240005,218.022995,240.358002,240.358002,162643200,9.54
2015.5.4,240.356003,247.804001,228.572998,240.296005,240.296005,166059200,-0.03
2015.5.11,240.298996,244.270004,234.057007,236.802002,236.802002,130322100,-1.45
2015.5.18,236.886993,241.977997,231.817001,240.953003,240.953003,114746500,1.75
2015.5.25,240.927002,241.020996,229.542007,230.190002,230.190002,107149900,-4.47
2015.6.1,230.233002,231.712997,221.296005,222.880997,222.880997,121536400,-3.18
2015.6.8,222.878998,234.858002,222.839005,233.542999,233.542999,121541200,4.78
2015.6.15,233.421997,256.852997,233.421997,243.944,243.944,191537000,4.45
2015.6.22,243.968994,251.339005,240.365005,249.011002,249.011002,115888900,2.08
2015.6.29,248.720993,274.506012,248.580994,271.912994,271.912994,206668700,9.20
2015.7.6,271.108002,314.394012,264.385986,310.867004,310.867004,353198700,14.33
2015.7.13,310.826996,310.947998,272.042999,273.614014,273.614014,235861300,-11.98
2015.7.20,273.498993,293.052002,272.959991,292.686005,292.686005,157457100,6.97
2015.7.27,292.639008,297.773987,277.528992,282.614014,282.614014,162700300,-3.44
2015.8.3,282.806,285.714996,260.467987,265.083008,265.083008,207110300,-6.20
2015.8.10,265.477997,270.673004,257.040985,258.506989,258.506989,177043500,-2.48
2015.8.17,258.48999,260.505005,211.078995,228.169006,228.169006,221695600,-11.74
2015.8.24,228.112,235.218994,199.567001,228.761002,228.761002,241915000,0.26
2015.8.31,229.113998,242.912003,225.914993,239.839996,239.839996,144635800,4.84
2015.9.7,239.934006,245.781006,229.332001,230.511993,230.511993,148588700,-3.89
2015.9.14,230.608994,259.182007,227.401993,231.212006,231.212006,126654700,0.30
2015.9.21,231.216995,237.427002,225.117004,232.757004,232.757004,137307600,0.67
2015.9.28,232.835999,239.802002,232.466995,238.259003,238.259003,136796200,2.36
2015.10.5,238.147003,247.242996,237.035004,247.050003,247.050003,142478600,3.69
2015.10.12,246.875,273.578003,243.757004,261.643005,261.643005,199808300,5.91
2015.10.19,261.860992,294.05899,260.950989,283.679993,283.679993,220696500,8.42
2015.10.26,283.627991,334.169006,280.51001,325.431,325.431,357648800,14.72
2015.11.2,325.941986,495.562012,323.209015,373.368011,373.368011,954934692,14.73
2015.11.9,374.324005,385.278015,300.997009,320.165985,320.165985,484398204,-14.25
2015.11.16,319.734985,338.350006,312.21701,324.536011,324.536011,292569400,1.36
2015.11.23,324.350006,371.938995,316.769989,371.294006,371.294006,337018400,14.41
2015.11.30,371.437012,402.80899,349.464996,388.78299,388.78299,416857500,4.71
2015.12.7,389.977997,469.102997,385.411011,433.755005,433.755005,562276900,11.57
2015.12.14,433.272003,465.580994,430.455994,442.684998,442.684998,553061704,2.06
2015.12.21,442.838013,458.455994,405.76001,422.822998,422.822998,441634396,-4.49
2015.12.28,423.342987,436.246002,418.480988,430.010986,430.010986,300130400,1.70
2016.1.4,430.061005,462.93399,426.341003,447.990997,447.990997,319871700,4.18
2016.1.11,448.697998,450.661987,354.914001,382.299011,382.299011,692913108,-14.66
2016.1.18,381.733002,425.266998,375.282013,402.971008,402.971008,493900500,5.41
